央卫频道,#genre#
CCTV4K,webview://https://yangshipin.cn/tv/home?pid=600002264
CCTV8K,webview://https://yangshipin.cn/tv/home?pid=600156816
CCTV1,webview://https://tv.cctv.com/live/cctv1/
CCTV1,webview://https://yangshipin.cn/tv/home?pid=600001859
CCTV2,webview://https://tv.cctv.com/live/cctv2/
CCTV2,webview://https://yangshipin.cn/tv/home?pid=600001800
CCTV3,webview://https://tv.cctv.com/live/cctv3/
CCTV3,webview://https://yangshipin.cn/tv/home?pid=600001801
CCTV4,webview://https://tv.cctv.com/live/cctv4/
CCTV4,webview://https://yangshipin.cn/tv/home?pid=600001814
CCTV4(美),webview://https://tv.cctv.com/live/cctvamerica/
CCTV4(欧),webview://https://tv.cctv.com/live/cctveurope/
CCTV5,webview://https://tv.cctv.com/live/cctv5/
CCTV5,webview://https://yangshipin.cn/tv/home?pid=600001818
CCTV5+,webview://https://tv.cctv.com/live/cctv5plus/
CCTV5+,webview://https://yangshipin.cn/tv/home?pid=600001817
CCTV6,webview://https://tv.cctv.com/live/cctv6/
CCTV6,webview://https://yangshipin.cn/tv/home?pid=600108442
CCTV7,webview://https://tv.cctv.com/live/cctv7/
CCTV7,webview://https://yangshipin.cn/tv/home?pid=600004092
CCTV8,webview://https://tv.cctv.com/live/cctv8/
CCTV8,webview://https://yangshipin.cn/tv/home?pid=600001803
CCTV9,webview://https://tv.cctv.com/live/cctvjilu/
CCTV9,webview://https://yangshipin.cn/tv/home?pid=600004078
CCTV10,webview://https://tv.cctv.com/live/cctv10/
CCTV10,webview://https://yangshipin.cn/tv/home?pid=600001805
CCTV11,webview://https://tv.cctv.com/live/cctv11/
CCTV11,webview://https://yangshipin.cn/tv/home?pid=600001806
CCTV12,webview://https://tv.cctv.com/live/cctv12/
CCTV12,webview://https://yangshipin.cn/tv/home?pid=600001807
CCTV13,webview://https://tv.cctv.com/live/cctv13/
CCTV13,webview://https://yangshipin.cn/tv/home?pid=600001811
CCTV14,webview://https://tv.cctv.com/live/cctvchild/
CCTV14,webview://https://yangshipin.cn/tv/home?pid=600001809
CCTV15,webview://https://tv.cctv.com/live/cctv15/
CCTV15,webview://https://yangshipin.cn/tv/home?pid=600001815
CCTV16,webview://https://tv.cctv.com/live/cctv16/
CCTV16,webview://https://yangshipin.cn/tv/home?pid=600098637
CCTV17,webview://https://tv.cctv.com/live/cctv17/
CCTV17,webview://https://yangshipin.cn/tv/home?pid=600001810
CCTV第一剧场,webview://https://yangshipin.cn/tv/home?pid=600099655
CCTV风云剧场,webview://https://yangshipin.cn/tv/home?pid=600099658
CCTV怀旧剧场,webview://https://yangshipin.cn/tv/home?pid=600099620
CETV1,webview://https://tv.gxtv.cn/channel/channelivePlay_ffa6b6e1b32b4a16a73eb3ef66f8bfc7.html
CETV2,webview://https://tv.gxtv.cn/channel/channelivePlay_80d0ffb42c114eaf9663708629ff0a3e.html
CETV4,webview://https://tv.gxtv.cn/channel/channelivePlay_67eace939278435bb4bca90800fb4225.html
CGTN阿拉伯语,webview://https://yangshipin.cn/tv/home?pid=600084782
CGTN俄语,webview://https://yangshipin.cn/tv/home?pid=600084758
CGTN法语,webview://https://yangshipin.cn/tv/home?pid=600084704
CGTN记录,webview://https://yangshipin.cn/tv/home?pid=600084781
CGTN西班牙语,webview://https://yangshipin.cn/tv/home?pid=600084744
CGTN英语,webview://https://yangshipin.cn/tv/home?pid=600014550


CTV1,http://221.197.237.47:1234/608807420
CCTV2,http://221.197.237.47:1234/631780532
CCTV3,http://221.197.237.47:1234/624878271
CCTV4,http://221.197.237.47:1234/631780421
CCTV5,http://221.197.237.47:1234/641886683
CCTV5+,http://221.197.237.47:1234/641886773
CCTV6,http://221.197.237.47:1234/624878396
CCTV7,http://221.197.237.47:1234/673168121
CCTV8,http://221.197.237.47:1234/624878356
CCTV9,http://221.197.237.47:1234/673168140
CCTV10,http://221.197.237.47:1234/624878405
CCTV11,http://221.197.237.47:1234/667987558
CCTV12,http://221.197.237.47:1234/673168185
CCTV13,http://221.197.237.47:1234/608807423
CCTV14,http://221.197.237.47:1234/624878440
CCTV15,http://221.197.237.47:1234/673168223
CCTV17,http://221.197.237.47:1234/673168256
CCTV4欧洲,http://221.197.237.47:1234/608807419
CCTV4美洲,http://221.197.237.47:1234/608807416
CGTN,http://221.197.237.47:1234/609017205
CGTN纪录,http://221.197.237.47:1234/609006487
CGTN阿拉伯语,http://221.197.237.47:1234/609154345
CGTN西班牙语,http://221.197.237.47:1234/609006450
CGTN法语,http://221.197.237.47:1234/609006476
CGTN俄语,http://221.197.237.47:1234/609006446
CHC影迷电影,http://221.197.237.47:1234/952383261
CHC动作电影,http://221.197.237.47:1234/644368714
CHC家庭影院,http://221.197.237.47:1234/644368373

CCTV1,http://tv.sohu.blog/d/mg.php?id=608807420
CCTV2,http://tv.sohu.blog/d/mg.php?id=631780532
CCTV3,http://tv.sohu.blog/d/mg.php?id=624878271
CCTV4,http://tv.sohu.blog/d/mg.php?id=631780421
CCTV5,http://tv.sohu.blog/d/mg.php?id=641886683
CCTV5+,http://tv.sohu.blog/d/mg.php?id=641886773
CCTV6,http://tv.sohu.blog/d/mg.php?id=624878396
CCTV7,http://tv.sohu.blog/d/mg.php?id=673168121
CCTV8,http://tv.sohu.blog/d/mg.php?id=624878356
CCTV9,http://tv.sohu.blog/d/mg.php?id=673168140
CCTV10,http://tv.sohu.blog/d/mg.php?id=624878405
CCTV11,http://tv.sohu.blog/d/mg.php?id=667987558
CCTV12,http://tv.sohu.blog/d/mg.php?id=673168185
CCTV13,http://tv.sohu.blog/d/mg.php?id=608807423
CCTV14,http://tv.sohu.blog/d/mg.php?id=624878440
CCTV15,http://tv.sohu.blog/d/mg.php?id=673168223
CCTV17,http://tv.sohu.blog/d/mg.php?id=673168256
CCTV4欧洲,http://tv.sohu.blog/d/mg.php?id=608807419
CCTV4美洲,http://tv.sohu.blog/d/mg.php?id=608807416
CGTN,http://tv.sohu.blog/d/mg.php?id=609017205
CGTN纪录,http://tv.sohu.blog/d/mg.php?id=609006487
CGTN阿拉伯语,http://tv.sohu.blog/d/mg.php?id=609154345
CGTN西班牙语,http://tv.sohu.blog/d/mg.php?id=609006450
CGTN法语,http://tv.sohu.blog/d/mg.php?id=609006476
CGTN俄语,http://tv.sohu.blog/d/mg.php?id=609006446
CHC影迷电影,http://tv.sohu.blog/d/mg.php?id=952383261
CHC动作电影,http://tv.sohu.blog/d/mg.php?id=644368714
CHC家庭影院,http://tv.sohu.blog/d/mg.php?id=644368373

CCTV1,http://43.251.226.89:8080/play/1.m3u8
CCTV2,http://43.251.226.89:8080/play/2.m3u8
CCTV3,http://43.251.226.89:8080/play/3.m3u8
CCTV4,http://43.251.226.89:8080/play/4.m3u8
CCTV5,http://43.251.226.89:8080/play/5.m3u8
CCTV5+,http://43.251.226.89:8080/play/6.m3u8
CCTV6,http://43.251.226.89:8080/play/7.m3u8
CCTV7,http://43.251.226.89:8080/play/8.m3u8
CCTV8,http://43.251.226.89:8080/play/9.m3u8
CCTV9,http://43.251.226.89:8080/play/10.m3u8
CCTV10,http://43.251.226.89:8080/play/11.m3u8
CCTV11,http://43.251.226.89:8080/play/12.m3u8
CCTV12,http://43.251.226.89:8080/play/13.m3u8
CCTV13,http://43.251.226.89:8080/play/14.m3u8
CCTV14,http://43.251.226.89:8080/play/15.m3u8
CCTV15,http://43.251.226.89:8080/play/16.m3u8
CCTV17,http://43.251.226.89:8080/play/17.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/18.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/19.m3u8
CGTN纪录,http://43.251.226.89:8080/play/20.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/21.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/22.m3u8
CGTN法语,http://43.251.226.89:8080/play/23.m3u8
CGTN俄语,http://43.251.226.89:8080/play/24.m3u8
CGTN,http://43.251.226.89:8080/play/25.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/92.m3u8
CHC动作电影,http://43.251.226.89:8080/play/93.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/94.m3u8

CCTV1,http://43.251.226.89:8080/play/97.m3u8
CCTV2,http://43.251.226.89:8080/play/98.m3u8
CCTV3,http://43.251.226.89:8080/play/99.m3u8
CCTV4,http://43.251.226.89:8080/play/100.m3u8
CCTV5,http://43.251.226.89:8080/play/101.m3u8
CCTV5+,http://43.251.226.89:8080/play/102.m3u8
CCTV6,http://43.251.226.89:8080/play/103.m3u8
CCTV7,http://43.251.226.89:8080/play/104.m3u8
CCTV8,http://43.251.226.89:8080/play/105.m3u8
CCTV9,http://43.251.226.89:8080/play/106.m3u8
CCTV10,http://43.251.226.89:8080/play/107.m3u8
CCTV11,http://43.251.226.89:8080/play/108.m3u8
CCTV12,http://43.251.226.89:8080/play/109.m3u8
CCTV13,http://43.251.226.89:8080/play/110.m3u8
CCTV14,http://43.251.226.89:8080/play/111.m3u8
CCTV15,http://43.251.226.89:8080/play/112.m3u8
CCTV17,http://43.251.226.89:8080/play/113.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/114.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/115.m3u8
CGTN纪录,http://43.251.226.89:8080/play/116.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/117.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/118.m3u8
CGTN法语,http://43.251.226.89:8080/play/119.m3u8
CGTN俄语,http://43.251.226.89:8080/play/120.m3u8
CGTN,http://43.251.226.89:8080/play/121.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/188.m3u8
CHC动作电影,http://43.251.226.89:8080/play/189.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/190.m3u8

CCTV1,http://43.251.226.89:8080/play/193.m3u8
CCTV2,http://43.251.226.89:8080/play/194.m3u8
CCTV3,http://43.251.226.89:8080/play/195.m3u8
CCTV4,http://43.251.226.89:8080/play/196.m3u8
CCTV5,http://43.251.226.89:8080/play/197.m3u8
CCTV5+,http://43.251.226.89:8080/play/198.m3u8
CCTV6,http://43.251.226.89:8080/play/199.m3u8
CCTV7,http://43.251.226.89:8080/play/200.m3u8
CCTV8,http://43.251.226.89:8080/play/201.m3u8
CCTV9,http://43.251.226.89:8080/play/202.m3u8
CCTV10,http://43.251.226.89:8080/play/203.m3u8
CCTV11,http://43.251.226.89:8080/play/204.m3u8
CCTV12,http://43.251.226.89:8080/play/205.m3u8
CCTV13,http://43.251.226.89:8080/play/206.m3u8
CCTV14,http://43.251.226.89:8080/play/207.m3u8
CCTV15,http://43.251.226.89:8080/play/208.m3u8
CCTV17,http://43.251.226.89:8080/play/209.m3u8
CCTV4欧洲,http://43.251.226.89:8080/play/210.m3u8
CCTV4美洲,http://43.251.226.89:8080/play/211.m3u8
CGTN,http://43.251.226.89:8080/play/220.m3u8
CGTN纪录,http://43.251.226.89:8080/play/212.m3u8
CGTN阿拉伯语,http://43.251.226.89:8080/play/213.m3u8
CGTN西班牙语,http://43.251.226.89:8080/play/214.m3u8
CGTN法语,http://43.251.226.89:8080/play/215.m3u8
CGTN俄语,http://43.251.226.89:8080/play/216.m3u8
CHC影迷电影,http://43.251.226.89:8080/play/287.m3u8
CHC动作电影,http://43.251.226.89:8080/play/288.m3u8
CHC家庭影院,http://43.251.226.89:8080/play/289.m3u8
CCTV1,http://ygbh.site/php/bfgd.php?id=201
CCTV1,http://ygbh.site/php/bfgd.php?id=484
CCTV1,http://ygbh.site/php/bfgd.php?id=488
CCTV1,http://ygbh.site/php/bfgd.php?id=489
CCTV2,http://ygbh.site/php/bfgd.php?id=061
CCTV3,http://ygbh.site/php/bfgd.php?id=062
CCTV4,http://ygbh.site/php/bfgd.php?id=063
CCTV5,http://ygbh.site/php/bfgd.php?id=064
CCTV5+,http://ygbh.site/php/bfgd.php?id=246
CCTV6,http://ygbh.site/php/bfgd.php?id=065
CCTV7,http://ygbh.site/php/bfgd.php?id=127
CCTV8,http://ygbh.site/php/bfgd.php?id=066
CCTV9,http://ygbh.site/php/bfgd.php?id=128
CCTV10,http://ygbh.site/php/bfgd.php?id=129
CCTV11,http://ygbh.site/php/bfgd.php?id=130
CCTV12,http://ygbh.site/php/bfgd.php?id=131
CCTV13,http://ygbh.site/php/bfgd.php?id=067
CCTV14,http://ygbh.site/php/bfgd.php?id=132
CCTV15,http://ygbh.site/php/bfgd.php?id=133
CCTV17,http://ygbh.site/php/bfgd.php?id=204
CETV1,http://ygbh.site/php/bfgd.php?id=135
CETV2,http://ygbh.site/php/bfgd.php?id=492
