# IPTV直播源合并结果
# 合并来源：2个GitHub IPTV数据源
# 格式说明：频道名称,#genre# 对应下方该分类的所有频道（频道名,播放URL）
# ==============================================

动漫频道,#genre#
CCTV-14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV-14,https://live.ottiptv.cc/mcp/cctv14.m3u8?userid=5559462299&sign=b2f71ee3436ee7fcd79acf53f19c8e2cd98c2a6f3801dea2e27982bdcea42fa3388b96d3ffcc6e2db24e85258058dc303d1e0818e68b9905a64872f1c408d47ed62b930346b0d67ad7200712a545&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
CCTV-14,https://t.freetv.fun/live/cctv14shao-er-1.php
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-14,https://hls-gateway.vpstv.net/streams/476900.m3u8
CCTV-14,http://k.061899.xyz/k.php?id=cctv14
CCTV-14,https://live.catvod.com/live.php?id=cctv14
CCTV-14,https://fenghuang.tv12.xyz/15.m3u8
CCTV-14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14-8.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14-1.m3u8
河北少儿,http://tv.pull.hebtv.com/jishi/shaoerkejiao.m3u8?t=2510710360&k=4ff4446adf3cce3de40dd013255b38b2
广东少儿,http://tvtj1.jxwltx.com:8003/live1570.m3u8
广东少儿,http://120.238.85.131:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
广东少儿,http://rihou.cc:555/tv/[AtI]广东少儿
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8
广东少儿,https://hk.188766.xyz/?migutoken=a15b72c32f38095db07397d7f93ce968&id=gd_gdse&type=sz
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-1.php
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-24.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-7.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-5.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-2.m3u8
黑龙江少儿,http://112.99.193.34:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江少儿,http://112.99.193.34:9901/tsfile/live/1026_1.m3u8
黑龙江少儿,http://kkk.888.3116598.xyz/api.php?n=tttt&id=wAJOfO&tk=FgM0vQMejxvG
黑龙江少儿,http://111.43.126.240:9003/hls/12/index.m3u8
黑龙江少儿,https://ls.qingting.fm/live/4972/64k.m3u8
黑龙江少儿,https://fenghuang.tv12.xyz/63.m3u8
黑龙江少儿,https://idclive.hljtv.com:4430/live/hljse_hd.m3u8
甘肃少儿,https://hls.gstv.com.cn/49048r/922k96.m3u8
浙江少儿,http://kkk.888.3116598.xyz/api.php?n=tttt&id=yXd1Ze&tk=FgM0vQMejxvG
浙江少儿,http://kkk.888.3116598.xyz/api.php?n=tttt&id=rEiHkf&tk=FgM0vQMejxvG
浙江少儿,http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江少儿,http://ali-xwl.cztv.com/live/channel08720Plxw.m3u8
金鹰卡通,http://120.238.94.10:9901/tsfile/live/1036_1.m3u8
金鹰卡通,http://113.15.109.216:59901/tsfile/live/1012_1.m3u8
金鹰卡通,http://124.228.160.14:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://kkk.888.3116598.xyz/api.php?n=tttt&id=5t4sHV&tk=FgM0vQMejxvG
金鹰卡通,http://58.57.40.22:9901/tsfile/live/1059_1.m3u8
金鹰卡通,https://t.freetv.fun/live/jin-ying-qia-tong-4.php
动漫秀场,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031113
动漫秀场,https://live.v1.mk/api/bestv.php?id=dmxc8m/8000000
动漫秀场,https://hls-gateway.vpstv.net/streams/708843.m3u8
哈哈炫动,http://120.238.94.10:9901/tsfile/live/1037_1.m3u8
哈哈炫动,http://kkk.888.3116598.xyz/api.php?n=tttt&id=QZUKbL&tk=FgM0vQMejxvG
哈哈炫动,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010117
哈哈炫动,http://nas.suntao.online:35455/itv/5000000011000031123.m3u8?cdn=bestzb
哈哈炫动,https://t.freetv.fun/live/ha-ha-xuan-dong.m3u8
优漫卡通,http://kkk.888.3116598.xyz/api.php?n=tttt&id=DCBefe&tk=FgM0vQMejxvG
优漫卡通,http://3501776.xyz:35455/itv/1000000002000010063.m3u8?cdn=ystenlive
优漫卡通,https://t.freetv.fun/live/you-man-qia-tong.m3u8

北京频道,#genre#
北京文艺,http://114.242.62.109:888/hls/18/index.m3u8
北京文艺,http://m.061899.xyz/mg/bjwy
北京文艺,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv2_1/index.m3u8?adapt=0&BR=audio
北京科教,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv3_1/index.m3u8?adapt=0&BR=audio
北京影视,http://114.242.62.109:888/hls/20/index.m3u8
