IPTV 播放验证详细报告
================================================================================
生成时间：2026-02-02 20:29:02
延迟阈值：50000ms | 并发验证数：20
总频道数：340 | 可播放频道数：6 | 不可播放频道数：334
可播放率：1.8%
================================================================================

【可播放频道列表（按延迟升序）】
排名   频道名                       延迟(ms)     内容长度            播放URL
--------------------------------------------------------------------------------
1    九品芝麻官                     96.23      1928351934      https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BM...
2    赌神2                       595.59     96              https://vip.lz-cdn.com/20220622/20003_820596d4/ind...
3    澳门风云3                     598.35     96              https://vip.lz-cdn8.com/20220903/25592_5fdbb860/in...
4    澳门风云2                     621.68     96              https://vip.lz-cdn8.com/20220903/25590_a12ec6f7/in...
5    无间道2                      925.04     96              https://vip.lzcdn2.com/20220323/300_8be28e1c/index...
6    逃学威龙2                     2070.81    1411226467      https://alimov2.a.kwimgs.com/upic/2021/12/28/16/BM...

【不可播放频道列表（简要）】
排名   频道名                       失败原因                 播放URL
--------------------------------------------------------------------------------
1    僵尸至尊                      HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9344_44b64a1a/...
2    没完没了                      HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9376_7f06747a/...
3    火烧岛                       HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9336_58c74ab9/...
4    急先锋                       HTTP状态码：403          https://vip.ffzy-play6.com/20221113/6503_476b3f6c/...
5    江湖                        HTTP状态码：403          https://vip.ffzy-play6.com/20221019/84_a64c541f/in...
6    精装追女仔之3狼之一族               HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9346_67ee848d/...
7    甲方乙方                      HTTP状态码：403          https://vip.ffzy-play6.com/20221206/10068_4bfccafe...
8    建党伟业                      HTTP状态码：403          https://vip.ffzy-play6.com/20221019/168_f44e1477/i...
9    精装追女仔之2                   HTTP状态码：403          https://vip.ffzy-play6.com/20221116/7250_93049e15/...
10   僵尸先生                      HTTP状态码：403          https://vip.ffzy-play7.com/20230507/24165_799a7b4a...
11   解救吾先生                     HTTP状态码：403          https://vip.ffzy-play.com/20221017/1618_2e6027ee/i...
12   江湖情                       HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4682_5ffb4872/...
13   江湖龙虎斗                     HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4681_38b34b56/...
14   记忆切割                      HTTP状态码：403          https://vip.ffzy-play.com/20221017/1473_691592bd/i...
15   江湖儿女                      HTTP状态码：403          https://vip.ffzy-play7.com/20230205/13419_960c8951...
16   精装追女仔                     HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4686_d56a5b6c/...
17   活着                        HTTP状态码：403          https://vip.ffzy-play.com/20221011/100_192cffb5/in...
18   火星没事                      HTTP状态码：403          https://vip.ffzy-play2.com/20221021/232_89153806/i...
19   霍元甲                       HTTP状态码：403          https://vip.ffzy-play2.com/20221021/234_50a8a4b6/i...
20   警察故事4                     HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9292_f6b1a849/...
21   警察故事2013                  HTTP状态码：403          https://vip.ffzy-play6.com/20221021/494_7e9bef86/i...
22   绝代双骄                      HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9355_e351af0a/...
23   九一神雕侠侣                    HTTP状态码：403          https://vip.ffzy-play6.com/20221112/6044_68796407/...
24   卡拉是条狗                     HTTP状态码：403          https://vip.ffzy-play6.com/20221020/264_d622ce7f/i...
25   快餐车                       HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4694_6f7f88ac/...
26   辣手神探                      HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3526_ba428b29/...
27   孔子                        HTTP状态码：403          https://vip.ffzy-play6.com/20221027/2108_7c929ef0/...
28   老虎田鸡                      HTTP状态码：403          https://vip.ffzy-play7.com/20221224/9583_f95a6383/...
29   离婚大战                      HTTP状态码：403          https://vip.ffzy-play7.com/20230409/21638_281e50c4...
30   两只老虎                      HTTP状态码：403          https://vip.ffzy-play7.com/20221117/5047_beb0a18c/...
31   警察故事3                     HTTP状态码：403          https://vip.ffzy-play7.com/20221206/8266_97359a93/...
32   决战紫禁之巅                    HTTP状态码：403          https://vip.ffzy-play7.com/20230413/22211_bfb8d6b2...
33   警察故事续集                    HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4687_1e3f6f8c/...
34   咖喱辣椒                      HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3509_1a0443fd/...
35   老鼠爱上猫                     HTTP状态码：403          https://vip.ffzy-play2.com/20221019/50_7eedcf07/in...
36   林世荣                       HTTP状态码：403          https://vip.ffzy-play7.com/20221209/9096_70ae66c7/...
37   灵幻先生                      HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4538_ddf6020e/...
38   警察故事                      HTTP状态码：403          https://ukzy.ukubf3.com/20220402/N3nfxJ6i/index.m3...
39   精武英雄                      HTTP状态码：403          https://cdn5.yzzy-tv-cdn.com/20220607/22255_9e00ed...
40   龙拳                        HTTP状态码：403          https://vip.ffzy-play6.com/20221128/9052_3612e0ff/...
41   龙虎风云                      HTTP状态码：403          https://vip.ffzy-play6.com/20221128/8945_9b4193cd/...
42   龙的传人                      HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3556_7788de32/...
43   龙腾虎跃                      HTTP状态码：403          https://vip.ffzy-play7.com/20221117/5171_c2d4c959/...
44   龙凤斗                       HTTP状态码：403          https://vip.ffzy-play2.com/20221019/18_d8d1ad76/in...
45   龙腾四海                      HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3563_422b85c5/...
46   龙在边缘                      HTTP状态码：403          https://vip.ffzy-play.com/20221017/1754_95490c99/i...
47   龙兄虎弟                      HTTP状态码：403          https://vip.ffzy-play6.com/20221116/7264_5b0b594e/...
48   龙在江湖                      HTTP状态码：403          https://vip.ffzy-play.com/20221017/1755_28d3688d/i...
49   灵幻至尊                      HTTP状态码：403          https://vip.ffzy-play7.com/20221112/3550_cbc3226a/...
50   龙之家族                      HTTP状态码：403          https://vip.ffzy-play6.com/20221116/7265_dd503587/...
... 共334个不可播放频道，仅显示前50个
