IPTV核心流程测速报告
================================================================================
生成时间：2026-02-02 20:07:43
延迟阈值：50000ms | 并发数：20
总频道数：340 | 有效频道数：7 | 无效频道数：333
有效率：2.1%
================================================================================

【有效频道列表（按延迟升序）】
排名   频道名                  延迟(ms)     播放URL
--------------------------------------------------------------------------------
1    alimov2.a.kwimgs.com 89.28      https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BM...
2    vip.lz-cdn8.com      501.30     https://vip.lz-cdn8.com/20220903/25592_5fdbb860/in...
3    vip.lz-cdn8.com      638.34     https://vip.lz-cdn8.com/20220903/25590_a12ec6f7/in...
4    vip.lzcdn2.com       829.59     https://vip.lzcdn2.com/20220323/300_8be28e1c/index...
5    vip.lz-cdn.com       847.62     https://vip.lz-cdn.com/20220622/20003_820596d4/ind...
6    alimov2.a.kwimgs.com 1245.72    https://alimov2.a.kwimgs.com/upic/2021/12/28/16/BM...
7    vip.kuaikan-cdn4.com 1256.95    https://vip.kuaikan-cdn4.com/20240220/k2bjbEoB/898...

【无效频道列表（简要）】
排名   频道名                  失败原因                 播放URL
--------------------------------------------------------------------------------
1    vip.ffzy-play.com    HTTP状态码：403          https://vip.ffzy-play.com/20221011/100_192cffb5/in...
2    vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9336_58c74ab9/...
3    vip.ffzy-play2.com   HTTP状态码：403          https://vip.ffzy-play2.com/20221021/232_89153806/i...
4    vip.ffzy-play2.com   HTTP状态码：403          https://vip.ffzy-play2.com/20221021/234_50a8a4b6/i...
5    vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221113/6503_476b3f6c/...
6    vip.ffzy-play.com    HTTP状态码：403          https://vip.ffzy-play.com/20221017/1473_691592bd/i...
7    vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221129/9376_7f06747a/...
8    vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221206/10068_4bfccafe...
9    vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221019/168_f44e1477/i...
10   vip.ffzy-play6.com   HTTP状态码：403          https://vip.ffzy-play6.com/20221019/84_a64c541f/in...
11   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4682_5ffb4872/...
12   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20230205/13419_960c8951...
13   vip.ffzy-play7.com   HTTP状态码：403          https://vip.ffzy-play7.com/20221115/4681_38b34b56/...
